"word","F","M"
"information",123,284
"inner",172,227
"inquisitive",162,216
"insane",57,64
"insatiable",51,63
"inside",260,427
"insight",40,62
"insightful",56,67
"inspiration",83,110
"inspire",118,87
"inspired",201,192
"inspires",71,50
"inspiring",80,87
"instead",279,467
"instructor",43,66
"instrument",41,66
"instruments",54,114
"integrity",318,208
"intellect",82,84
"intellectual",402,588
"intellectually",158,175
"intelligence",286,300
"intelligent",1058,1328
"intend",45,85
"intense",276,360
"intensely",50,54
"intensity",48,56
"intention",53,67
"intentions",36,66
"interact",47,63
"interaction",46,86
"interactions",48,81
"interest",414,695
"interested",1451,1856
"interesting",1173,2044
"interests",895,1320
"interests?i=art"">art<",63,99
"interests?i=camping"">camping<",39,78
"interests?i=cooking"">cooking<",46,111
"interests?i=dancing"">dancing<",97,88
"interests?i=hiking"">hiking<",74,164
"interests?i=movies"">movies<",49,125
"interests?i=music"">music<",119,198
"interests?i=photography"">photography<",38,98
"interests?i=reading"">reading<",48,80
"interests?i=travel"">travel<",99,120
"interests?i=traveling"">traveling<",47,82
"interests?i=yoga"">yoga<",56,79
"interior",69,43
"international",225,262
"internationally",51,55
"internet",281,548
"intimacy",133,187
"intimate",155,190
"intj",28,102
"into",3200,5197
"intrigued",57,84
"introduce",65,88
"introspective",134,182
"introvert",189,240
"introverted",136,197
"intuitive",130,121
"involve",93,105
"involved",267,396
"involves",119,162
"involving",51,55
"iphone",59,96
"ipod",56,60
"ireland",80,106
"irish",106,146
"ironic",46,63
"irony",44,73
"irreverent",86,124
"is",22007,30528
"island",136,194
"islands",50,60
"isn't",518,785
"israel",71,107
"issue",49,78
"issues",205,237
"it",16387,24420
"it?",77,113
"it'd",47,96
"it'll",28,93
"it's",4396,6179
"italian",195,284
"italy",228,230
"its",1109,2006
"itself",102,173
"ive",116,191
"jack",45,125
"jaded",39,65
"jam",44,65
"james",26,86
"january",58,78
"japan",150,308
"japanese",113,222
"jazz",199,308
"jealous",39,79
"jeans",215,177
"jersey",98,178
"jesus",59,58
"jewelry",72,29
"jewish",110,124
"job",1495,2287
"jobs",113,208
"jogging",66,94
"john",52,135
"join",201,247
"joined",114,193
"joke",251,485
"jokes",377,592
"joking",53,113
"jose",70,134
"journal",62,69
"journey",268,374
"joy",365,362
"joyful",79,38
"joys",64,58
"judge",190,313
"judgmental",43,72
"july",85,108
"jump",143,168
"jumping",134,115
"june",69,111
"junkie",121,174
"just",8625,13806
"justice",223,209
"karaoke",150,172
"karma",50,68
"kayaking",177,175
"keen",45,83
"keep",1609,2266
"keeping",269,388
"keeps",300,376
"kept",80,112
"key",246,334
"keys",44,61
"kick",174,302
"kicking",52,83
"kid",317,602
"kidding",66,142
"kids",815,889
"kill",66,93
"killer",50,52
"kind",2644,3160
"kinda",402,665
"kindness",288,206
"kinds",387,520
"king",44,76
"kinky",97,115
"kiss",82,160
"kisses",57,55
"kissing",101,108
"kitchen",218,224
"knew",119,180
"know",5858,8612
"know?",45,85
"knowing",233,299
"knowledge",218,378
"known",409,543
"knows",500,630
"kong",59,111
"korea",44,67
"la",443,641
"lab",80,77
"label",45,80
"labels",48,65
"lack",144,208
"ladies",73,322
"lady",387,329
"laid",632,1395
"laid-back",140,270
"lake",213,246
"lakes",69,61
"lame",49,104
"land",118,210
"landed",63,85
"lands",48,54
"landscape",40,61
"language",257,347
"languages",262,315
"large",297,482
"las",37,68
"last",1278,2019
"lasting",77,81
"lastly",39,79
"late",333,511
"lately",268,416
"later",307,519
"latest",102,141
"latin",122,167
"latter",51,87
"laugh",3562,3065
"laughing",911,662
"laughs",143,184
"laughter",498,382
"laundry",67,76
"law",210,291
"lawyer",54,74
"lay",79,97
"laying",69,97
"lazy",276,335
"lbs",20,84
"lead",233,358
"leading",47,92
"leads",100,139
"league",53,123
"lean",82,107
"learn",1290,1675
"learned",493,663
"learner",53,52
"learning",1575,1852
"least",989,1533
"leave",397,578
"leaves",74,89
"leaving",130,214
"led",76,105
"left",537,766
"legal",48,72
"legs",63,65
"less",537,897
"lessons",106,155
"let",835,1364
"let's",747,1092
"lets",213,490
"letters",67,66
"letting",86,119
"level",251,357
"levels",68,108
"liberal",273,324
"library",92,85
"license",53,78
"lie",142,239
"lies",62,82
"life",11854,15314
"life:",55,92
"life's",273,328
"lifelong",63,80
"lifestyle",362,441
"lifetime",97,124
"lift",30,71
"light",331,447
"lights",66,82
"like",17543,25906
"like-minded",61,63
"like:",120,163
"liked",82,157
"likely",277,417
"likes",760,1074
"liking",52,65
"lil",54,76
"limit",46,65
"limited",96,146
"limits",49,112
"line",300,524
"lines",90,166
"list",634,777
"listen",581,899
"listener",304,411
"listening",597,832
"lists",106,75
"literally",90,108
"literature",173,182
"little",2983,3711
"live",3843,5173
"lived",2078,2758
"lively",81,56
"lives",505,633
"living",2520,3403
"local",566,684
"locally",59,57
"location",47,64
"logic",47,81
"logical",92,120
"lol",410,648
"london",210,290
"lonely",65,82
"long",2280,3048
"long-term",182,196
"longer",192,328
"look",1280,1879
"looked",81,179
"looking",6122,8329
"looks",212,374
"loose",53,106
"los",140,239
"lose",114,210
"losing",35,77
"lost",355,543
"lot",3595,5227
"lots",771,832
"loud",337,294
"lounge",39,62
"lounging",64,52
"love",24169,22690
"love:",84,47
"loved",469,443
"lovely",176,183
"lover",671,669
"lovers",108,122
"loves",1130,1075
"loving",1692,1467
"low",293,307
"low-key",53,54
"loyal",1067,1069
"loyalty",113,167
"ltr",33,73
"luck",168,225
"luckily",42,62
"lucky",496,571
"lunch",46,121
"lying",90,99
"lyrics",51,71
"ma",55,82
"machine",43,90
"mad",126,175
"made",849,1272
"magazine",48,71
"magic",111,126
"magical",81,70
"main",146,251
"mainly",99,219
"maintain",123,169
"maintaining",55,66
"maintenance",149,90
"major",326,448
"majored",54,84
"majority",81,116
"make",4491,6137
"maker",58,92
"makes",1329,1528
"makeup",99,31
"making",1518,2230
"male",151,342
"man",1811,2236
"manage",86,152
"managed",57,123
"management",60,172
"manager",79,144
"manhattan",47,77
"manner",38,77
"manners",94,82
"many",2496,3517
"marathon",158,136
"marathons",93,51
"march",59,85
"marin",188,269
"marina",48,69
"mark",38,112
"market",215,193
"marketing",124,151
"markets",237,115
"marriage",138,158
"married",341,412
"martial",55,213
"masculine",44,183
"massachusetts",56,72
"massage",79,150
"master",74,143
"master's",73,81
"masters",129,174
"match",333,471
"mate",102,146
"material",73,116
"math",121,233
"matter",471,644
"matters",144,173
"mature",164,267
"may",1095,1694
"maybe",1067,1707
"mba",48,106
"me",19859,25065
"me:",473,442
"me?",174,211
"meal",301,324
"meals",136,160
"mean",934,1288
"meaning",207,291
"meaningful",228,282
"means",799,1101
"meant",125,170
"meantime",48,79
"measure",41,70
"meat",121,170
"mechanical",21,83
"media",145,174
"medical",103,176
"medicine",104,114
"meditate",70,78
"meditation",197,201
"medium",43,69
"meet",2998,4415
"meeting",1391,1896
"meets",58,73
"mellow",156,250
"member",58,111
"memories",108,153
"memory",51,105
"men",909,510
"mental",102,128
"mentally",90,141
"mention",168,241
"mess",66,105
"message",694,1075
"messages",144,156
"met",416,576
"metal",81,181
"mexican",108,159
"mexico",240,314
"miami",49,80
"michael",24,102
"michigan",99,131
"mid",29,72
"middle",293,435
"midwest",325,374
"midwestern",65,70
"might",1058,1657
"mile",62,68
"miles",112,266
"military",36,115
"milk",50,65
"million",63,107
"mind",1359,1871
"minded",496,805
"minds",70,89
"mine",404,558
"minnesota",37,85
"minor",66,117
"minute",183,248
"minutes",138,236
"mirror",38,65
"mischievous",46,63
"miss",476,495
"missed",68,99
"missing",146,182
"mission",183,312
"mistake",39,83
"mistakes",89,120
"mix",262,373
"mixed",118,165
"mode",32,82
"model",73,103
"moderation",46,62
"modern",156,190
"modest",49,124
"mom",432,349
"moment",708,1023
"moments",355,362
"money",322,571
"monogamous",95,117
"monogamy",44,65
"month",238,375
"months",571,859
"mood",142,203
"moon",119,121
"moral",45,67
"more",6846,10079
"morning",408,472
"mornings",91,77
"most",4190,6031
"mostly",819,1137
"mother",355,271
"motivated",232,311
"motorcycle",104,356
"motorcycles",75,198
"motto",58,89
"mountain",226,537
"mountains",381,465
"mouth",132,151
"move",562,854
"moved",2673,4487
"movement",89,107
"moves",83,110
"movie",809,1228
"movies",1888,2667
"moving",486,751
"mr",59,101
"mt",74,105
"much",4631,6702
"multiple",118,164
"mundane",68,82
"muni",58,53
"museum",140,142
"museums",527,422
"music",4185,6409
"music<",48,70
"musical",172,279
"musicals",62,58
"musician",105,473
"musicians",59,68
"must",644,701
"mutual",132,201
"my",40835,49531
"myers-briggs",43,102
"myself",5375,7426
"mysterious",38,96
"mystery",104,157
"naked",46,69
"name",1008,1751
"name's",34,94
"named",155,166
"names",96,172
"napa",105,99
"naps",59,43
"national",96,141
"native",690,800
"natural",276,362
"naturally",131,231
"nature",1344,1350
"near",418,471
"nearby",61,64
"nearly",189,290
"neat",58,98
"necessarily",171,209
"necessary",139,171
"need",1827,2350
"needed",148,218
"needs",300,390
"negative",103,120
"neighborhood",145,164
"neighborhoods",93,86
"neither",86,164
"nephew",61,49
"nephews",71,59
"nerd",488,959
"nerds",62,63
"nerdy",319,532
"nervous",63,68
"netflix",82,121
"network",86,140
"never",2258,3306
"new",9736,12611
"news",140,267
"next",1111,1359
"nice",1424,2663
"niece",66,44
"nieces",74,56
"night",1124,1531
"nights",351,398
"nine",38,79
"niners",47,83
"no",2934,4565
"nobody",36,110
"non",107,135
"non-profit",81,86
"none",86,193
"nor",166,325
"norcal",48,75
"normal",190,378
"normally",60,120
"north",187,340
"northern",241,302
"nose",53,65
"not",12948,18384
"note",205,224
"note:",106,92
"notes",35,69
"nothing",784,1182
"notice",139,216
"noticed",49,97
"novel",82,121
"novels",81,98
"now",4013,6239
"nowhere",60,89
"npr",140,129
"number",208,360
"numbers",40,69
"nurse",106,39
"nursing",77,43
"nurturing",124,76
"nut",58,107
"nutshell",70,87
"ny",236,287
"nyc",398,509
"oakland",601,736
"obscure",44,113
"observant",45,60
"obsessed",208,166
"obsession",77,83
"obvious",54,97
"obviously",81,153
"occasion",166,224
"occasional",292,435
"occasionally",332,533
"occasions",50,56
"ocean",608,498
"october",54,75
"odd",149,267
"of",41623,60039
"off",1500,2267
"offended",61,79
"offer",675,861
"offers",67,94
"office",115,231
"often",1592,2143
"oh",712,1003
"ohio",68,115
"oil",53,79
"ok",583,899
"okay",279,340
"okc",260,318
"okcupid",374,612
"old",1718,2376
"old-fashioned",55,47
"older",205,294
"on",14798,21332
"once",1550,2203
"one",5244,7695
"one's",102,168
"ones",520,718
"oneself",43,69
"online",695,903
"only",1725,2842
"onto",71,111
"open",2626,3551
"open-minded",410,544
"opened",51,66
"opening",90,154
"openly",53,56
"openness",54,84
"opera",164,124
"opinion",128,185
"opinionated",143,143
"opinions",175,251
"opportunities",200,221
"opportunity",291,442
"opposed",72,128
"opposite",69,121
"optimism",39,64
"optimist",171,182
"optimistic",440,510
"option",61,79
"options",64,88
"or",11800,16884
"orange",97,122
"order",285,400
"ordinary",61,79
"oregon",109,149
"org",37,101
"organic",113,122
"organization",52,54
"organized",148,126
"oriented",204,304
"original",88,127
"originally",889,1205
"orleans",73,91
"other",3391,5090
"other's",87,89
"others",1594,2119
"otherwise",199,380
"our",1219,1747
"ourselves",110,188
"out",10333,15601
"outdoor",402,570
"outdoors",1650,2062
"outdoorsy",203,227
"outgoing",1093,1181
"outlook",180,212
"outside",1227,1411
"outspoken",70,57
"over",2406,3496
"overall",187,228
"overly",102,150
"overseas",71,113
"owl",53,57
"own",2252,2901
"owned",41,64
"owner",50,84
"pace",63,91
"pacific",70,151
"pack",62,83
"packed",51,75
"page",116,183
"paid",59,166
"pain",84,89
"paint",193,179
"painting",247,221
"pair",111,101
"palo",50,146
"pants",92,115
"paper",138,173
"paragraph",71,145
"paragraphs",44,92
"parent",79,48
"parents",343,466
"paris",218,227
"park",593,730
"parking",61,62
"parks",207,228
"part",1495,1981
"part-time",62,71
"participate",52,70
"particular",231,366
"particularly",190,332
"parties",389,401
"partner",1221,1207
"partners",169,215
"partnership",108,68
"parts",312,410
"party",420,669
"partying",62,126
"pass",130,200
"passed",56,83
"passion",935,1294
"passionate",1906,1965
"passionately",56,56
"passions",272,386
"passport",89,74
"past",852,1138
"path",246,355
"paths",56,64
"patience",145,124
"patient",185,284
"pay",134,294
"paying",49,79
"peace",215,264
"peaceful",81,75
"penchant",59,61
"peninsula",90,137
"people",11071,14820
"people's",208,246
"peoples",36,94
"per",51,116
"perceptive",49,61
"perfect",517,661
"perfection",41,66
"perfectly",113,152
"perform",48,71
"performance",98,126
"performances",58,70
"performing",90,115
"perhaps",312,484
"period",73,93
"person",4987,5944
"personal",504,761
"personalities",51,111
"personality",629,981
"personally",105,149
"perspective",180,280
"perspectives",75,109
"peru",74,58
"pet",118,105
"pets",99,99
"phase",80,72
"phd",70,158
"philadelphia",56,104
"philosophical",97,151
"philosophy",190,446
"phone",197,228
"photo",122,159
"photographer",112,232
"photography",516,704
"photos",267,336
"phrase",44,74
"physical",385,609
"physically",313,389
"physics",58,170
"piano",163,319
"pick",185,289
"picked",67,139
"picking",50,93
"picky",95,126
"picnic",66,50
"picnics",84,46
"pics",60,136
"picture",228,309
"pictures",296,445
"pie",76,42
"piece",107,128
"pieces",77,88
"piercings",82,52
"pilates",87,22
"pink",92,41
"pizza",100,159
"place",1404,1882
"places",1864,2257
"plain",66,95
"plan",440,671
"plane",102,126
"planet",131,231
"planned",69,77
"planner",64,43
"planning",298,339
"plans",186,225
"plants",117,116
"play",2079,3721
"played",208,400
"player",85,197
"playful",548,491
"playing",1275,2468
"plays",175,213
"pleasant",41,93
"please",983,1034
"pleasure",172,255
"pleasures",157,134
"plenty",147,228
"plus",317,401
"poet",60,84
"poetry",201,218
"point",694,1109
"points",234,404
"poker",63,95
"policy",64,92
"polite",64,134
"political",213,357
"politically",142,187
"politics",403,627
"poly",158,193
"polyamorous",90,91
"pool",193,260
"poor",85,126
"pop",189,255
"popular",46,92
"portland",110,141
"position",41,87
"positive",938,1026
"possess",52,65
"possibilities",119,127
"possibility",89,91
"possible",785,1125
"possibly",202,281
"post",85,129
"pot",51,69
"potential",176,234
"power",243,282
"powerful",58,77
"ppl",45,68
"practical",163,154
"practice",371,408
"practicing",109,120
"pragmatic",51,66
"precious",62,94
"prefer",964,1237
"preferably",105,109
"preference",43,61
"prepared",59,74
"presence",71,108
"present",249,352
"pressure",67,89
"pretend",99,119
"pretentious",64,85
"pretty",3848,5480
"previous",42,105
"pride",159,248
"primarily",68,106
"primary",99,141
"priorities",56,55
"priority",117,123
"private",131,182
"pro",44,100
"probably",1371,2190
"problem",209,400
"problems",131,264
"process",239,342
"produce",57,87
"product",57,136
"production",35,120
"productive",35,79
"products",34,67
"profession",84,111
"professional",404,734
"professionally",98,150
"professor",38,73
"profile",1292,2075
"profiles",125,262
"profound",33,69
"program",152,249
"programming",23,112
"progress",169,225
"progressive",120,142
"project",132,261
"projects",208,377
"promise",147,209
"prone",58,77
"proper",60,96
"proud",293,374
"prove",74,119
"provide",56,108
"psychology",205,261
"pub",56,69
"public",304,345
"puerto",46,60
"pull",68,100
"punk",107,210
"puns",73,104
"puppies",59,53
"puppy",62,73
"pure",62,70
"purpose",100,196
"pursue",118,252
"pursuing",97,167
"pursuit",65,99
"pursuits",67,92
"push",118,175
"pushing",53,90
"put",798,1375
"puts",43,72
"putting",159,212
"puzzles",82,67
"qualities",275,322
"quality",374,461
"queen",75,55
"queer",306,156
"quest",61,92
"question",211,342
"questions",436,677
"quick",293,397
"quickly",180,280
"quiet",669,847
"quirks",49,62
"quirky",458,328
"quit",77,137
"quite",1080,1452
"quote",113,163
"quotes",53,86
"r&amp",50,69
"race",125,224
"races",45,66
"racing",54,139
"rad",60,85
"radical",71,77
"radio",103,179
"rafting",88,86
"rain",254,229
"rainy",90,90
"raise",58,79
"raised",1207,1893
"raising",78,61
"ran",86,132
"random",812,1086
"randomly",58,76
"range",171,285
"rap",53,116
"rare",142,225
"rarely",239,348
"rather",1007,1597
"rational",50,116
"raw",54,70
"reach",90,140
"read",1493,2081
"reader",127,153
"reading",1597,2020
"ready",717,643
"real",999,1507
"realist",58,77
"realistic",81,73
"reality",215,298
"realize",259,361
"realized",170,281
"realizing",53,62
"really",5957,8202
"reason",399,619
"reasonably",34,86
"reasons",137,175
"receive",63,76
"received",70,73
"recent",285,414
"recently",1445,2186
"recipe",58,62
"recipes",101,85
"recognize",57,89
"record",79,184
"records",43,108
"recovering",48,74
"red",344,317
"redwood",38,83
"redwoods",81,58
"reference",39,72
"reflect",47,61
"reflection",42,59
"reflective",46,62
"refuse",68,90
"regardless",87,124
"reggae",59,60
"regret",65,103
"regrets",54,93
"regular",211,316
"regularly",219,359
"rel=""nofollow""",132,348
"relate",68,106
"related",111,192
"relationship",1885,2197
"relationships",777,993
"relatively",151,193
"relax",253,381
"relaxed",132,325
"relaxing",273,412
"reliable",90,147
"religion",150,260
"religious",156,230
"relish",50,55
"relocated",94,115
"remain",71,144
"remember",191,336
"remind",62,64
"renaissance",44,78
"reply",65,87
"require",72,103
"required",63,82
"requires",52,109
"research",125,228
"reserved",104,186
"resident",54,81
"respect",527,705
"respectful",189,291
"respond",145,158
"response",47,75
"responsibility",59,90
"responsible",230,285
"rest",370,618
"restaurant",280,370
"restaurants",708,838
"result",107,201
"results",35,91
"retired",70,85
"return",192,285
"returned",145,146
"returning",63,57
"rewarding",81,136
"rica",96,106
"rich",123,187
"ride",526,837
"rides",148,193
"ridiculous",203,254
"ridiculously",73,68
"riding",456,678
"right",2060,3106
"right?",203,338
"rights",95,101
"risk",106,126
"risks",58,86
"river",120,141
"road",659,797
"rock",721,1195
"rocks",86,111
"role",80,107
"roll",121,212
"roller",106,83
"rolling",59,77
"romance",200,263
"romantic",785,1122
"room",340,393
"roommates",50,63
"root",37,67
"roots",165,172
"roses",60,45
"rough",84,116
"round",90,115
"rounded",45,94
"routine",87,129
"rude",67,64
"rule",96,138
"rules",79,148
"run",707,993
"runner",68,84
"running",1017,1235
"runs",95,137
"rural",62,100
"rush",92,116
"russia",54,60
"russian",86,96
"sacramento",59,106
"sad",123,167
"sadly",61,66
"safe",83,133
"said",854,1282
"sail",69,111
"sailing",165,293
"sailor",54,47
"sake",66,106
"sales",81,107
"salsa",217,198
"salt",46,67
"same",1579,2090
"san",3141,5035
"sand",69,58
"sane",88,118
"santa",221,353
"sarcasm",319,353
"sarcastic",951,1089
"sassy",267,35
"satisfaction",43,69
"satisfied",48,87
"satisfying",64,82
"saturday",115,132
"save",179,242
"saving",54,57
"saw",91,195
"say",3001,4327
"say?",57,75
"saying",285,448
"says",289,434
"scare",57,61
"scared",84,131
"scary",88,94
"scene",243,400
"scenery",55,83
"schedule",164,176
"school",2083,3274
"schools",58,71
"sci-fi",72,131
"science",427,964
"sciences",42,87
"scientific",49,91
"scientist",71,197
"scrabble",108,77
"scratch",60,86
"screen",80,178
"scuba",191,234
"sea",134,166
"search",190,287
"searching",147,206
"season",177,194
"seasons",46,60
"seat",49,80
"seattle",156,290
"second",306,489
"secret",107,160
"secretly",70,88
"secrets",42,63
"section",111,219
"secure",122,133
"security",32,80
"see",2959,4224
"seeing",618,764
"seek",247,353
"seeker",73,88
"seeking",402,501
"seeks",61,94
"seem",453,724
"seemed",37,69
"seemingly",37,79
"seems",405,738
"seen",257,463
"sees",50,59
"self",808,1237
"self-aware",71,72
"self-summaries",37,71
"self-summary",148,255
"selfish",38,76
"sell",48,96
"semester",50,64
"send",259,482
"sense",2302,2914
"senses",64,69
"sensitive",350,369
"sensual",246,211
"sent",36,69
"sentence",81,128
"sentences",95,141
"september",53,83
"serial",51,57
"series",89,160
"serious",1106,1542
"seriously",981,1376
"serve",43,76
"service",97,164
"set",278,499
"setting",84,136
"settle",180,220
"settled",103,164
"settling",66,102
"seven",89,131
"several",366,590
"sex",431,677
"sexual",169,197
"sexuality",98,75
"sexually",38,71
"sexy",514,425
"sf",2284,3429
"sfsu",51,93
"shake",55,70
"shall",67,117
"shallow",42,75
"shape",157,414
"shaped",49,58
"share",1642,1967
"shared",133,192
"shares",168,154
"sharing",415,474
"sharks",88,119
"sharp",124,156
"she",836,1258
"she's",177,187
"shell",63,71
"shirt",42,93
"shit",242,491
"shoes",250,187
"shoot",85,174
"shooting",74,140
"shop",167,223
"shopping",320,190
"shops",107,121
"shore",40,64
"short",789,1180
"shot",147,264
"should",1298,2088
"shoulders",63,80
"shouldn't",79,140
"show",630,936
"shower",87,130
"showing",55,91
"shows",660,944
"shut",48,94
"shy",1032,1200
"siblings",56,54
"sick",104,113
"side",1112,1413
"sides",80,113
"sight",57,71
"sign",115,130
"signed",41,67
"significant",83,138
"silence",98,108
"silicon",32,131
"silliness",90,49
"silly",1079,817
"similar",328,453
"simple",846,1232
"simplicity",55,74
"simply",249,420
"simultaneously",50,57
"since",1289,2203
"sincere",231,341
"sincerity",47,61
"sing",455,377
"singapore",34,72
"singer",95,110
"singing",411,303
"single",729,1008
"sister",231,170
"sisters",78,106
"sit",251,389
"site",544,905
"sites",75,147
"sitting",304,426
"situation",335,447
"situations",279,344
"six",168,279
"size",74,86
"skating",47,67
"skeptical",42,80
"ski",189,273
"skiing",391,554
"skill",80,79
"skills",253,329
"skin",192,187
"skinny",59,87
"skip",55,57
"sky",116,162
"skydiving",96,132
"sleep",315,428
"sleeping",191,205
"sleeve",93,80
"slight",38,65
"slightly",244,253
"slow",197,246
"slowly",128,191
"small",972,1325
"smaller",31,78
"smart",1267,1426
"smell",270,231
"smells",64,49
"smile",790,931
"smiles",96,107
"smiling",178,185
"smoke",165,315
"smoking",70,107
"snarky",72,62
"snob",61,93
"snow",235,275
"snowboard",91,180
"snowboarding",271,604
"so",10052,13772
"soaking",64,37
"socal",107,154
"soccer",306,586
"sociable",56,77
"social",1394,1537
"socializing",76,98
"socially",156,240
"society",110,214
"sociology",57,61
"socks",82,66
"soft",222,214
"softball",86,116
"software",64,455
"sold",36,79
"solid",170,201
"solo",81,85
"solve",37,85
"solving",31,93
"some",5415,8538
"somebody",121,298
"someday",202,255
"somehow",158,242
"someone",6458,7463
"someone's",61,83
"something",2674,4350
"sometime",81,176
"sometimes",2205,2884
"somewhat",376,597
"somewhere",358,517
"son",248,283
"song",236,268
"songs",144,239
"sonoma",77,80
"soon",443,680
"sophisticated",80,69
"sorry",247,306
"sort",424,614
"sorts",170,275
"soul",562,591
"sound",412,532
"sounding",60,87
"sounds",307,502
"source",55,96
"south",516,804
"southern",342,419
"space",308,428
"spaces",80,67
"spain",185,195
"spanish",255,241
"spare",160,252
"spark",100,108
"speak",452,674
"speaking",154,238
"special",729,1012
"specific",96,132
"specifically",59,117
"spectrum",80,73
"speed",57,88
"spell",87,84
"spelling",78,84
"spend",1758,2190
"spending",1063,1049
"spent",957,1497
"spice",56,62
"spicy",87,78
"spiders",61,43
"spin",49,64
"spirit",441,342
"spirited",113,81
"spiritual",506,476
"spirituality",120,126
"spiritually",78,95
"spoken",50,74
"spontaneity",188,164
"spontaneous",837,878
"sport",152,302
"sporting",131,126
"sports",1104,2416
"spot",165,205
"spots",135,141
"spread",39,63
"spring",81,114
"springs",67,80
"square",41,66
"st",71,100
"stable",158,262
"stage",130,198
"stand",340,475
"stand-up",37,68
"standard",55,95
"standards",74,82
"standing",73,103
"stands",64,72
"stanford",63,173
"star",163,215
"staring",44,84
"stars",140,203
"start",857,1356
"start-up",44,90
"started",488,926
"starting",275,454
"starts",42,103
"startup",65,284
"state",374,586
"statement",49,70
"states",211,359
"status",62,103
"stay",809,1305
"stayed",76,107
"staying",521,701
"steady",45,71
"step",157,249
"stick",128,193
"still",2661,3564
"stimulating",119,149
"stint",101,111
"stone",38,68
"stop",418,583
"stopped",42,90
"stopping",83,117
"store",158,199
"stores",120,99
"stories",506,646
"story",350,570
"straight",303,466
"straightforward",81,99
"strange",177,296
"stranger",69,95
"strangers",216,260
"streak",129,106
"street",340,430
"streets",95,126
"strength",88,108
"stress",95,165
"strike",53,63
"strive",220,326
"striving",60,71
"strong",965,1030
"stronger",61,56
"strongly",108,159
"struggle",58,87
"stubborn",133,114
"stuck",120,211
"student",518,798
"students",93,88
"studied",273,449
"studies",141,166
"studio",94,129
"study",221,315
"studying",327,422
"stuff",1006,1884
"stupid",154,281
"style",281,418
"subject",77,170
"subjects",41,125
"subtle",36,80
"suburbs",47,80
"succeed",33,84
"success",92,211
"successful",233,412
"such",618,970
"suck",104,189
"sucker",122,135
"sucks",50,87
"sugar",71,67
"suggest",55,69
"suggestions",47,57
"suit",56,134
"suits",33,76
"sum",130,203
"summaries",51,88
"summarize",165,245
"summary",239,445
"summer",615,785
"summers",69,91
"sums",62,80
"sun",470,496
"sunday",238,204
"sundays",64,60
"sunny",307,255
"sunset",120,130
"sunsets",78,66
"sunshine",275,141
"super",646,637
"support",242,275
"supportive",188,151
"suppose",172,302
"supposed",102,168
"sure",956,1429
"surf",126,240
"surface",54,97
"surfing",168,434
"surprise",127,142
"surprised",91,151
"surprises",89,82
"surprising",46,76
"surprisingly",54,69
"surround",194,156
"surrounded",170,148
"surrounding",73,67
"surroundings",58,86
"sushi",113,168
"sustainable",63,60
"swear",98,138
"sweat",91,108
"sweet",990,670
"swim",213,226
"swimming",510,473
"swing",108,138
"switch",55,58
"switzerland",39,71
"symphony",78,103
"system",92,149
"systems",33,92
"t-shirt",67,78
"table",145,185
"tahoe",244,351
"take",3137,4183
"taken",333,484
"takes",441,561
"taking",1131,1364
"talent",53,80
"talented",68,117
"talents",41,63
"talk",1311,1966
"talkative",87,132
"talking",742,1144
"talks",63,106
"tall",315,488
"tango",65,58
"task",32,72
"taste",222,307
"tastes",97,192
"tasting",225,159
"tasty",56,129
"tattoo",71,77
"tattoos",278,252
"taught",191,250
"tea",279,260
"teach",367,441
"teacher",352,306
"teaching",274,350
"team",220,318
"teams",67,118
"tears",56,70
"tech",182,568
"technical",41,118
"technology",160,557
"teeth",73,102
"television",102,179
"tell",1056,1682
"telling",160,239
"tells",66,110
"ten",125,208
"tend",1137,1676
"tendencies",78,60
"tendency",80,115
"tender",54,56
"tends",86,135
"tennis",372,645
"tent",59,50
"term",289,465
"terms",133,185
"terrible",180,273
"terribly",58,75
"test",120,184
"tests",45,81
"texas",150,257
"text",96,167
"thai",79,119
"thailand",142,172
"than",3572,5433
"thank",168,190
"thankful",87,89
"thanks",282,419
"that",21923,32342
"that?",48,90
"that's",1543,2592
"thats",141,342
"the",67313,96945
"theater",421,406
"theatre",237,187
"their",1664,2240
"them",2670,3864
"theme",49,74
"themselves",397,586
"then",2208,3843
"theory",69,152
"therapist",81,83
"therapy",74,57
"there",3606,5546
"there's",729,1244
"therefore",101,116
"these",1347,2092
"they",2764,4056
"they're",295,443
"they've",40,61
"thick",53,59
"thin",38,72
"thing",1757,2674
"things",8940,11694
"things:",63,95
"think",4367,6385
"thinker",128,190
"thinking",564,798
"thinks",147,163
"third",114,166
"this",7722,11549
"this:",38,77
"thoroughly",71,77
"those",1716,2507
"though",1784,2739
"thought",582,930
"thoughtful",512,577
"thoughts",175,286
"three",597,881
"thrift",77,53
"thrill",48,84
"thrive",136,108
"through",1531,2158
"throughout",119,174
"throw",182,239
"throwing",64,108
"thrown",56,73
"thus",117,148
"tick",55,64
"ticket",39,69
"tickets",38,70
"tie",32,96
"tight",36,72
"till",72,151
"time",9117,12654
"times",1563,2300
"tiny",121,108
"tired",147,205
"to",87550,120435
"today",178,274
"toes",113,77
"together",1045,1233
"tokyo",29,85
"told",685,974
"tolerance",67,70
"tolerant",52,64
"tolerate",51,60
"tom",49,62
"tomboy",142,3
"tomorrow",66,90
"ton",103,158
"tons",90,124
"too",4012,5524
"took",310,493
"tools",63,93
"top",325,550
"topic",58,116
