"word","F","M"
"black",323,450
"blah",200,395
"blast",71,119
"blend",58,68
"blessed",202,192
"block",46,71
"blog",58,106
"blonde",86,26
"blood",94,125
"blow",45,67
"blue",202,294
"blues",81,124
"blunt",137,114
"board",319,416
"boarding",58,111
"boat",100,157
"boating",39,64
"bodies",55,66
"body",618,710
"bold",65,56
"bonus",131,192
"book",885,934
"books",809,979
"boots",111,57
"bored",201,315
"boring",221,395
"born",1391,2422
"boss",39,66
"boston",301,462
"both",1483,1986
"bother",110,119
"bottle",135,175
"bottom",69,115
"bought",76,169
"boundaries",66,88
"bourbon",55,64
"bowl",49,67
"bowling",101,117
"box",224,339
"boxes",69,97
"boxing",43,74
"boy",207,646
"boyfriend",114,109
"boys",235,168
"brain",215,278
"brains",63,66
"brand",50,69
"brave",62,50
"brazil",119,123
"brazilian",41,61
"bread",66,84
"break",216,336
"breakfast",99,137
"breaking",64,92
"breath",89,108
"bridge",89,122
"brief",87,152
"bright",181,192
"brilliant",77,121
"bring",384,506
"bringing",63,84
"brings",161,207
"british",99,147
"broad",63,98
"broke",51,75
"broken",88,131
"brooklyn",82,90
"brother",107,232
"brothers",109,114
"brought",109,192
"brown",103,165
"brunch",150,90
"bs",74,114
"bubble",56,59
"bucket",55,53
"buddhism",48,55
"buddhist",59,74
"buddies",30,114
"buddy",74,122
"buff",37,93
"bug",72,67
"build",241,492
"building",253,495
"buildings",36,77
"built",72,223
"bullshit",80,119
"bunch",166,294
"burn",61,82
"burning",150,219
"bus",87,118
"business",475,1014
"busy",653,743
"but",20602,27499
"butt",58,71
"butterfly",69,43
"button",34,80
"buy",184,273
"buying",67,83
"by",4170,6015
"ca",287,476
"cafe",84,119
"cafes",66,80
"cake",68,78
"cal",180,265
"cali",118,155
"california",1348,1727
"californian",99,108
"call",652,986
"called",295,529
"calling",79,134
"calls",113,136
"calm",125,245
"came",436,723
"camera",100,150
"camp",179,209
"camping",991,1112
"can",9880,13459
"can't",1558,1949
"canada",115,210
"canadian",39,77
