"body_type","f","m"
"(none given)",2703,2593
"a little extra",821,1808
"athletic",2309,9510
"average",5620,9032
"curvy",3811,113
"fit",4431,8280
"full figured",870,139
"jacked",129,292
"overweight",145,299
"rather not say",106,92
"skinny",601,1176
"thin",2469,2242
"used up",102,253
